2021-06-28 00:21:56 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2021-06-28 00:22:01 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-06-28 00:22:03 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=2a519873-3bf9-3410-9240-bed5bf7485b8
2021-06-28 00:22:04 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-06-28 00:22:04 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-06-28 00:22:04 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-28 00:22:04 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-06-28 00:22:04 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-06-28 00:22:05 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3032 ms
2021-06-28 00:22:05 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-28 00:22:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/actuator/**'], []
2021-06-28 00:22:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/encrypt/**'], []
2021-06-28 00:22:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: Ant [pattern='/decrypt/**'], []
2021-06-28 00:22:13 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2bab618, org.springframework.security.web.context.SecurityContextPersistenceFilter@78e68401, org.springframework.security.web.header.HeaderWriterFilter@26be9a6, org.springframework.security.web.csrf.CsrfFilter@1b37fbec, org.springframework.security.web.authentication.logout.LogoutFilter@3c81cd82, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@1e76afeb, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@4fb64e14, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@48bc2fce, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@666618d6, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@5b0dbfb, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@76cdafa3, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1eca3ea7, org.springframework.security.web.session.SessionManagementFilter@411fa0ce, org.springframework.security.web.access.ExceptionTranslationFilter@46394f65, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@7f3c0399]
2021-06-28 00:22:15 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-06-28 00:22:15 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-06-28 00:22:15 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-06-28 00:22:15 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-06-28 00:22:17 [main] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-06-28 00:22:17 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 25.193 seconds (JVM running for 27.117)
2021-06-28 00:22:34 [http-nio-8888-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-28 00:22:34 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-28 00:22:34 [http-nio-8888-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 9 ms
2021-06-28 00:22:38 [http-nio-8888-exec-1] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2021-06-28 00:22:38 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/shiva/AppData/Local/Temp/config-repo-2695200086800755950/config-client-elastic_query.yml
2021-06-28 00:22:38 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: file:/C:/Users/shiva/AppData/Local/Temp/config-repo-2695200086800755950/config-client.yml
