2021-06-28 16:58:30 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.5.Final
2021-06-28 16:58:31 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Fetching config from server at : http://config-server:8888
2021-06-28 16:58:34 [main] INFO  o.s.c.c.c.ConfigServicePropertySourceLocator - Located environment: name=elastic-query-web-client,config-client, profiles=[elastic_query_web], label=null, version=00cd1af292d64347c4907698c20a82e00f461c9c, state=null
2021-06-28 16:58:34 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: [BootstrapPropertySource {name='bootstrapProperties-configClient'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/shivam1646/spring-cloud-config-server-repository/config-client-elastic_query_web.yml'}, BootstrapPropertySource {name='bootstrapProperties-https://github.com/shivam1646/spring-cloud-config-server-repository/config-client.yml'}]
2021-06-28 16:58:34 [main] INFO  c.m.d.e.q.w.c.ElasticQueryWebClientApplication - The following profiles are active: elastic_query_web
2021-06-28 16:58:35 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=99adc761-6997-31e9-b2c4-3c89e4b3e799
2021-06-28 16:58:35 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-28 16:58:35 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration$ReactorDeferringLoadBalancerFilterConfig] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-28 16:58:35 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'reactorDeferringLoadBalancerExchangeFilterFunction' of type [org.springframework.cloud.client.loadbalancer.reactive.DeferringLoadBalancerExchangeFilterFunction] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-06-28 16:58:36 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8184 (http)
2021-06-28 16:58:36 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8184"]
2021-06-28 16:58:36 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-06-28 16:58:36 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.38]
2021-06-28 16:58:36 [main] INFO  o.a.c.c.C.[.[.[/elastic-query-web-client] - Initializing Spring embedded WebApplicationContext
2021-06-28 16:58:36 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2444 ms
2021-06-28 16:58:37 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Creating filter chain: any request, [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@6325f352, org.springframework.security.web.context.SecurityContextPersistenceFilter@74fab04a, org.springframework.security.web.header.HeaderWriterFilter@77bb48d5, org.springframework.security.web.csrf.CsrfFilter@117d32e, org.springframework.security.web.authentication.logout.LogoutFilter@1a1f5f71, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@67514bdd, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@272ce069, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@100c8b75, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@15c4af7a, org.springframework.security.web.session.SessionManagementFilter@439b15f2, org.springframework.security.web.access.ExceptionTranslationFilter@3d96fa9e, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@445bb139]
2021-06-28 16:58:38 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-06-28 16:58:38 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page template: index
2021-06-28 16:58:39 [main] WARN  o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. You can switch to using Caffeine cache, by adding it to the classpath.
2021-06-28 16:58:39 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8184"]
2021-06-28 16:58:39 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8184 (http) with context path '/elastic-query-web-client'
2021-06-28 16:58:39 [main] INFO  c.m.d.e.q.w.c.ElasticQueryWebClientApplication - Started ElasticQueryWebClientApplication in 9.268 seconds (JVM running for 10.077)
2021-06-28 17:00:23 [http-nio-8184-exec-7] INFO  o.a.c.c.C.[.[.[/elastic-query-web-client] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-06-28 17:00:23 [http-nio-8184-exec-7] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-06-28 17:00:23 [http-nio-8184-exec-7] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 14 ms
2021-06-28 17:01:51 [http-nio-8184-exec-6] INFO  c.m.d.e.q.w.c.api.QueryController - Querying with text kafka
2021-06-28 17:01:51 [http-nio-8184-exec-6] INFO  c.m.d.e.q.w.c.s.i.TwitterElasticQueryWebClient - Querying by text kafka
